GEOID10,profile,time_limit,average_num_poi,average_rating_poi
421010203001.0,pt,600,42.2,3.030805687203792
421010203001.0,pt,1800,3955.6,3.614571746384872
421010203001.0,pt,1200,425.2,3.281749764816557
421010203001.0,foot,600,32.6,3.128834355828221
421010203001.0,foot,1800,150.2,3.1344873501997337
421010203001.0,foot,1200,78.6,3.015267175572519
421010203002.0,car,600,6170.2,3.606576772227805
421010203002.0,car,1800,31331.8,3.554401598376091
421010203002.0,car,1200,19554.0,3.62054311138386
421010203002.0,pt,600,43.6,2.9977064220183487
421010203002.0,pt,1800,2752.4,3.5615462868769074
421010203002.0,pt,1200,311.0,3.230546623794212
421010203002.0,foot,600,31.0,2.967741935483871
421010203002.0,foot,1800,149.0,3.2302013422818794
421010203002.0,foot,1200,83.2,3.1189903846153846
421010031001.0,car,600,9712.6,3.7107674567057214
421010031001.0,car,1800,28165.4,3.5538710616572105
421010031001.0,car,1200,17939.8,3.6089477028729418
421010031001.0,pt,600,68.2,3.8167155425219934
421010031001.0,pt,1800,6692.0,3.748625224148237
421010031001.0,pt,1200,1992.4,3.852790604296326
421010031001.0,foot,600,79.4,3.8551637279596975
421010031001.0,foot,1800,3028.6,3.827312949877832
421010031001.0,foot,1200,764.4,3.9512035583464153
421010031002.0,car,600,9669.8,3.708980537343068
421010031002.0,car,1800,28086.8,3.5538616004671235
421010031002.0,car,1200,17909.8,3.606572937721248
421010031002.0,pt,600,77.4,4.015503875968992
421010031002.0,pt,1800,5962.4,3.7533208104119145
421010031002.0,pt,1200,1554.0,3.886872586872587
421010031002.0,foot,600,90.2,4.073170731707317
421010031002.0,foot,1800,2450.4,3.868184786157362
421010031002.0,foot,1200,741.8,3.9683203019681854
421010031003.0,car,600,9453.2,3.70374053230652
421010031003.0,car,1800,27896.2,3.554968060165901
