,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
451,421010112002-1200-foot,"39.97236245875324,-75.23044134848065",8773218.397272479,3.26027397260274,False,11366.456189360448,0.0,6080.0,133,1.5159773070433149e-05
452,421010112002-1800-foot,"39.97236245875324,-75.23044134848065",20502713.423512973,3.2598870056497176,False,18945.61334779375,0.0,6848.0,254,1.2388604120501781e-05
453,421010112002-600-car,"39.97236245875324,-75.23044134848065",196079662.6649609,3.613589567604667,True,118601.12583289234,0.0,8992.0,769,3.921875372225531e-06
454,421010112002-1200-car,"39.97236245875324,-75.23044134848065",1062464651.1815397,3.649076517150396,True,741600.6282848726,0.0,10496.0,2552,2.4019622649675792e-06
455,421010112002-1800-car,"39.97236245875324,-75.23044134848065",3016551471.4803085,3.6233748366237877,True,929313.8389334816,0.0,12192.0,2852,9.454504678484539e-07
456,421010112002-600-pt,"39.97236245875324,-75.23044134848065",2571727.2616895237,3.466666666666667,False,717.6056195192159,0.0,6720.0,43,1.6720280039241287e-05
457,421010112002-1200-pt,"39.97236245875324,-75.23044134848065",18946921.59301844,3.4066265060240966,False,24864.710243035483,0.0,7520.0,257,1.3564208768072348e-05
458,421010112002-1800-pt,"39.97236245875324,-75.23044134848065",55174465.30642357,3.6318740565020486,True,57549.46537767083,0.0,9216.0,505,9.152784665793698e-06
495,421010112001-600-foot,"39.97539551652672,-75.23052455517399",1988524.0543242386,3.088235294117647,False,0.0,0.0,7024.0,35,1.7600994025638817e-05
496,421010112001-1200-foot,"39.97539551652672,-75.23052455517399",8287540.920209124,3.175,False,13095.276060386299,0.0,6514.0,105,1.2669620700630034e-05
497,421010112001-1800-foot,"39.97539551652672,-75.23052455517399",20491977.569963157,3.3212121212121213,False,19312.24750758533,0.0,6848.0,231,1.1272704120982274e-05
498,421010112001-600-car,"39.97539551652672,-75.23052455517399",208912395.06919494,3.6218528879381275,True,126114.9984764872,0.0,8960.0,800,3.829356318159236e-06
499,421010112001-1200-car,"39.97539551652672,-75.23052455517399",1101757906.3442473,3.6434792573917028,True,763528.5070175813,0.0,10688.0,2592,2.352603947813307e-06
500,421010112001-1800-car,"39.97539551652672,-75.23052455517399",3089696291.5939393,3.623265081764463,True,939004.124510192,0.0,12224.0,2853,9.233917287476077e-07
501,421010112001-600-pt,"39.97539551652672,-75.23052455517399",1630886.2165834946,3.1666666666666665,False,0.0,0.0,7456.0,30,1.8394906827311532e-05
502,421010112001-1200-pt,"39.97539551652672,-75.23052455517399",14774669.072947398,3.326388888888889,True,18150.719921760323,0.0,6528.0,193,1.3062898332754226e-05
503,421010112001-1800-pt,"39.97539551652672,-75.23052455517399",45486889.290953435,3.4549242424242426,True,41124.17998882572,0.0,8240.0,431,9.475257743899374e-06
540,421010112003-600-foot,"39.9720602994466,-75.23317581121346",2320279.3131084004,3.4166666666666665,False,0.0,0.0,6752.0,41,1.767028640404231e-05
541,421010112003-1200-foot,"39.9720602994466,-75.23317581121346",8901993.207064422,3.175324675324675,False,15818.663931321085,0.0,6336.0,143,1.606381814429137e-05
542,421010112003-1800-foot,"39.9720602994466,-75.23317581121346",20353589.039476916,3.3117647058823527,False,19281.72565243829,0.0,7072.0,264,1.2970685390569562e-05
543,421010112003-600-car,"39.9720602994466,-75.23317581121346",202730291.53083408,3.6061718594959316,True,119638.10364023391,0.0,8960.0,766,3.7784190720383586e-06
544,421010112003-1200-car,"39.9720602994466,-75.23317581121346",1065539608.4750744,3.650260883108792,True,731493.1374542941,0.0,10464.0,2528,2.372506831180022e-06
